Trig,Prob,,,,Heirarchy Levels,,highlighted yellow means needs formal review,,,,,,,
Ellipses,https://www.doenet.org/portfolioeditor/_Evw3mf6cG7mXfboNYo0A3,19c,_Evw3mf6cG7mXfboNYo0A3,,,,8: TR-Conics - Determine parameters from graph of an ellipse showing its center,,,,,_6KCvtQHCg6hthqQBQ63n8,_z43LODyB9X7t1VGOQT0Ac,https://www.doenet.org/courseactivityeditor/_z43LODyB9X7t1VGOQT0Ac/_6KCvtQHCg6hthqQBQ63n8
Ellipses,https://www.doenet.org/portfolioeditor/_sgVYJwovCia2uQWLzG8qp,19c,_sgVYJwovCia2uQWLzG8qp,,,,9: TR-Conics - Determine parameters from graph of an ellipse showing critical points,,,,,_huvzLcqMDjq0vh1NHb2Ji,_z43LODyB9X7t1VGOQT0Ac,https://www.doenet.org/courseactivityeditor/_z43LODyB9X7t1VGOQT0Ac/_huvzLcqMDjq0vh1NHb2Ji
Ellipses,https://www.doenet.org/portfolioeditor/_qUgPqC6TxHZBD1t7Uc9T4,19c,_qUgPqC6TxHZBD1t7Uc9T4,,,,"10: TR-Conics - Given the equation of an ellipse in normalized form, determine parameters",,,,,_nylkwWXoG2ZcjrDOjG63V,_z43LODyB9X7t1VGOQT0Ac,https://www.doenet.org/courseactivityeditor/_z43LODyB9X7t1VGOQT0Ac/_nylkwWXoG2ZcjrDOjG63V
Ellipses,https://www.doenet.org/portfolioeditor/_k37rz5JtnA4ECbMiI1j5e,19c,_k37rz5JtnA4ECbMiI1j5e,,,,"11: TR-Conics - Given the equation of an ellipse, determine parameters",,,,,_8KpfImhvRlTts83R3SoYZ,_z43LODyB9X7t1VGOQT0Ac,https://www.doenet.org/courseactivityeditor/_z43LODyB9X7t1VGOQT0Ac/_8KpfImhvRlTts83R3SoYZ
Intersections of conics,https://www.doenet.org/portfolioeditor/_4aFJn34DUDH7ZkFEzKZRG,19e,_4aFJn34DUDH7ZkFEzKZRG,,,,12. TR-Conics - Intersection of line with ellipse (version 1),1,,,,_7OkC04QmJIA9euIBEua65,_z43LODyB9X7t1VGOQT0Ac,https://www.doenet.org/courseactivityeditor/_z43LODyB9X7t1VGOQT0Ac/_7OkC04QmJIA9euIBEua65
Intersections of conics,https://www.doenet.org/portfolioeditor/_0FIc9I8ec0CQjeiur2Auf,19e,_0FIc9I8ec0CQjeiur2Auf,,,,13. TR-Conics -  Intersection of line with ellipse (version 2),2,,,,_Zg0sl6td2lBKqW0btwSTt,_z43LODyB9X7t1VGOQT0Ac,https://www.doenet.org/courseactivityeditor/_z43LODyB9X7t1VGOQT0Ac/_Zg0sl6td2lBKqW0btwSTt
Parabolas,https://www.doenet.org/portfolioeditor/_bFIZj2ysrdOyEzEMSYFB2,19a,_bFIZj2ysrdOyEzEMSYFB2,,,,"14. TR-Conics: Given the graph of a parabola, write equation in vertex form (version 1)",1,,,,_nJzaAlSBJcrCSCQrava1G,_z43LODyB9X7t1VGOQT0Ac,https://www.doenet.org/courseactivityeditor/_z43LODyB9X7t1VGOQT0Ac/_nJzaAlSBJcrCSCQrava1G
Parabolas,https://www.doenet.org/portfolioeditor/_iGG4O6A8WvBGDv6o9CsaE,19a,_iGG4O6A8WvBGDv6o9CsaE,,,,"15: TR-Conics - Given the graph of a horizontal parabola, write equation in vertex form (version 1)",1,,,,_NSB7xwQSUtxt0mCcQFwih,_z43LODyB9X7t1VGOQT0Ac,https://www.doenet.org/courseactivityeditor/_z43LODyB9X7t1VGOQT0Ac/_NSB7xwQSUtxt0mCcQFwih
Parabolas,https://www.doenet.org/portfolioeditor/_YtvxFByCi05wQV093PCJ8,19a,_YtvxFByCi05wQV093PCJ8,,,,"16. TR-Conics: Given the graph of a parabola, write equation in vertex form (version 2)",2,,,,_4Lg6v5kmytRPamMTnJAGZ,_z43LODyB9X7t1VGOQT0Ac,https://www.doenet.org/courseactivityeditor/_z43LODyB9X7t1VGOQT0Ac/_4Lg6v5kmytRPamMTnJAGZ
Parabolas,https://www.doenet.org/portfolioeditor/_fVzB8YhCVGUzRDDwb75Z1,19a,_fVzB8YhCVGUzRDDwb75Z1,,,,"17: TR-Conics - Given the graph of a horizontal parabola, write equation in vertex form (version 2)",2,,,,_b0lkxx0dgC6GYTaRT1NtA,_z43LODyB9X7t1VGOQT0Ac,https://www.doenet.org/courseactivityeditor/_z43LODyB9X7t1VGOQT0Ac/_b0lkxx0dgC6GYTaRT1NtA
Graphs,https://www.doenet.org/portfolioeditor/_lMv96dREOsJhgsUSrtF4J,"9h, 19a",_lMv96dREOsJhgsUSrtF4J,,,,18. TR-Conics - Find x-coordinate of vertex of a parabola,,,,,_hLGWJPh5Vl94vXrTDAKOW,_z43LODyB9X7t1VGOQT0Ac,https://www.doenet.org/courseactivityeditor/_z43LODyB9X7t1VGOQT0Ac/_hLGWJPh5Vl94vXrTDAKOW
Hyperbolas,https://www.doenet.org/portfolioeditor/_yAgzwvH34TAdzJvI5q0fS,19d,_yAgzwvH34TAdzJvI5q0fS,,,,"19. TR-Conics - Given the graph of a parabola, determine equation parameters (version 1)",1,,,,_NcPfr2hdOFJKvAVnGIG3C,_z43LODyB9X7t1VGOQT0Ac,https://www.doenet.org/courseactivityeditor/_z43LODyB9X7t1VGOQT0Ac/_NcPfr2hdOFJKvAVnGIG3C
Hyperbolas,https://www.doenet.org/portfolioeditor/_GVW4nQKqnN8z2fGyypeyU,19d,_GVW4nQKqnN8z2fGyypeyU,,,,"20. TR-Conics - Given the graph of a parabola, determine equation parameters (version 2)",2,,,,_ok3SU6WLGpgkeNPsVfT5t,_z43LODyB9X7t1VGOQT0Ac,https://www.doenet.org/courseactivityeditor/_z43LODyB9X7t1VGOQT0Ac/_ok3SU6WLGpgkeNPsVfT5t
Circles,https://www.doenet.org/portfolioeditor/_uUXQfBaRPE100xG8TeulM,19b,_uUXQfBaRPE100xG8TeulM,,,,21. TR-Conics: Complete the square to find center and radius of a circle,,,,,_qaInQLSBBNsLsDDKQsxoA,_z43LODyB9X7t1VGOQT0Ac,https://www.doenet.org/courseactivityeditor/_z43LODyB9X7t1VGOQT0Ac/_qaInQLSBBNsLsDDKQsxoA
Ellipses,https://www.doenet.org/portfolioeditor/_EYmIgVv1Cb40d32coVJC3,19c,_EYmIgVv1Cb40d32coVJC3,,,,22. TR-Conics - Complete the square to write equation of ellipse in standard form,,,,,_UKqAk10CaavbwXvhNiuyP,_z43LODyB9X7t1VGOQT0Ac,https://www.doenet.org/courseactivityeditor/_z43LODyB9X7t1VGOQT0Ac/_UKqAk10CaavbwXvhNiuyP
Completing the square,https://www.doenet.org/portfolioeditor/_vz84pdkAmQPPHswXlyWM1,"9b, 19a",_vz84pdkAmQPPHswXlyWM1,,,,23. TR-Conics - Complete the square to write equation of parabola in vertex form,,,,,_QuhqJm3hv9eIZMPQGeGx7,_z43LODyB9X7t1VGOQT0Ac,https://www.doenet.org/courseactivityeditor/_z43LODyB9X7t1VGOQT0Ac/_QuhqJm3hv9eIZMPQGeGx7
Hyperbolas,https://www.doenet.org/portfolioeditor/_wFDDO833WN8CaTZnlgGhl,19d,_wFDDO833WN8CaTZnlgGhl,,,,24. TR-Conics - Complete the square to write equation of hyperbola in standard form,,,,,_6GQ8cfN9nP3fC15HJUTTX,_z43LODyB9X7t1VGOQT0Ac,https://www.doenet.org/courseactivityeditor/_z43LODyB9X7t1VGOQT0Ac/_6GQ8cfN9nP3fC15HJUTTX
#N/A,,,,,,,Problem 25: TR-Conics,,,,,_uDYb2qs7f8wau2KNXzYpC,_z43LODyB9X7t1VGOQT0Ac,https://www.doenet.org/courseactivityeditor/_z43LODyB9X7t1VGOQT0Ac/_uDYb2qs7f8wau2KNXzYpC
Parabolas,https://www.doenet.org/portfolioeditor/_m2m5hXo52HKnlBsExtEai,"19a, 9b",_m2m5hXo52HKnlBsExtEai,,,,26: TR-Conics - Convert a quadratic equation from general to vertex form by completing the square (version 1),1,,,,_7QOKCyMaZYBVUQz0waQdv,_z43LODyB9X7t1VGOQT0Ac,https://www.doenet.org/courseactivityeditor/_z43LODyB9X7t1VGOQT0Ac/_7QOKCyMaZYBVUQz0waQdv
Parabolas,https://www.doenet.org/portfolioeditor/_Nw7LJOdY0O1oSx1I5cpbT,"19a, 9b",_Nw7LJOdY0O1oSx1I5cpbT,,,,27: TR-Conics - Convert a quadratic equation from general to vertex form by completing the square (version 2),2,,,,_KlRNyZ0GnnrSOp83FuU30,_z43LODyB9X7t1VGOQT0Ac,https://www.doenet.org/courseactivityeditor/_z43LODyB9X7t1VGOQT0Ac/_KlRNyZ0GnnrSOp83FuU30
Parabolas,https://www.doenet.org/portfolioeditor/_JZoAqWH5Yl4ApfPgiip6h,"19a, 9b",_JZoAqWH5Yl4ApfPgiip6h,,,,28: TR-Conics - Determine final term of a quadratic to make a perfect square (version 1),1,,,,_N07vMSYdF6WxeejRcrzlD,_z43LODyB9X7t1VGOQT0Ac,https://www.doenet.org/courseactivityeditor/_z43LODyB9X7t1VGOQT0Ac/_N07vMSYdF6WxeejRcrzlD
Parabolas,https://www.doenet.org/portfolioeditor/_od9kub0zCibdlfbogS6fp,"19a, 9b",_od9kub0zCibdlfbogS6fp,,,,29: TR-Conics - Determine final term of a quadratic to make a perfect square (version 2),2,,,,_CjwYPrxeEdWhFU9OzCq59,_z43LODyB9X7t1VGOQT0Ac,https://www.doenet.org/courseactivityeditor/_z43LODyB9X7t1VGOQT0Ac/_CjwYPrxeEdWhFU9OzCq59
Parabolas,https://www.doenet.org/portfolioeditor/_z8OSEkTjrhJ62od2l5eLB,"19a, 19b, 19c",_z8OSEkTjrhJ62od2l5eLB,,,,30. TR-Conics - Multiple choice; select shape of conic given equation,,,,,_Nqd4mCxcd89MG7whcUj5f,_z43LODyB9X7t1VGOQT0Ac,https://www.doenet.org/courseactivityeditor/_z43LODyB9X7t1VGOQT0Ac/_Nqd4mCxcd89MG7whcUj5f
Polar or parametric form,https://www.doenet.org/portfolioeditor/_LF4tirYsrHcBQISFMTLBA,"19f, 8k",_LF4tirYsrHcBQISFMTLBA,,,,31. TR-Conics - Determine parametric equation of a line segment,,,,,_J2YX9BGOnS7k9k3jcRKnV,_z43LODyB9X7t1VGOQT0Ac,https://www.doenet.org/courseactivityeditor/_z43LODyB9X7t1VGOQT0Ac/_J2YX9BGOnS7k9k3jcRKnV
Polar or parametric form,https://www.doenet.org/portfolioeditor/_xK9tShIimnUcdM3hQxG6A,19f,_xK9tShIimnUcdM3hQxG6A,,,,32. TR-Conics - Determine parametric equation of an ellipse,,,,,_4QMT1cixCJJT56kYtA1Cu,_z43LODyB9X7t1VGOQT0Ac,https://www.doenet.org/courseactivityeditor/_z43LODyB9X7t1VGOQT0Ac/_4QMT1cixCJJT56kYtA1Cu
Polar or parametric form,https://www.doenet.org/portfolioeditor/_j3fCavT68vs2qPpVoYX4T,19f,_j3fCavT68vs2qPpVoYX4T,,,,33. TR-Conics - Determine parametric equation of a cycloid,,,,,_D7582WTCYELT9e0W8dgbz,_z43LODyB9X7t1VGOQT0Ac,https://www.doenet.org/courseactivityeditor/_z43LODyB9X7t1VGOQT0Ac/_D7582WTCYELT9e0W8dgbz
Intersections of conics,https://www.doenet.org/portfolioeditor/_Z3Lz0gnB780szWRRvqIUj,19e,_Z3Lz0gnB780szWRRvqIUj,,,,34. TR-Conics - Intersections of a parabola with a line,,,,,_ivLcPsqm5dxDM19uEGFMG,_z43LODyB9X7t1VGOQT0Ac,https://www.doenet.org/courseactivityeditor/_z43LODyB9X7t1VGOQT0Ac/_ivLcPsqm5dxDM19uEGFMG
Intersections of conics,https://www.doenet.org/portfolioeditor/_hph7KtBzsqzAcea2KJAlS,19e,_hph7KtBzsqzAcea2KJAlS,,,,35. TR-Conics - Intersections of a circle with a line,,,,,_vhb3ZFmQXDnufxwJFTjqb,_z43LODyB9X7t1VGOQT0Ac,https://www.doenet.org/courseactivityeditor/_z43LODyB9X7t1VGOQT0Ac/_vhb3ZFmQXDnufxwJFTjqb
Intersections of conics,https://www.doenet.org/portfolioeditor/_bzrjqOkLoNEjn81If9JLF,19e,_bzrjqOkLoNEjn81If9JLF,,,,36. TR-Conics - Intersections of a circle with parabola,,,,,_R3DN6p325T50CTclhbSMg,_z43LODyB9X7t1VGOQT0Ac,https://www.doenet.org/courseactivityeditor/_z43LODyB9X7t1VGOQT0Ac/_R3DN6p325T50CTclhbSMg
#N/A,,,,,,,Problem 37: TR-Conics - future - circle parabola intersection with variants,,,,,_ziS8A02W4u7OYLHN45lcH,_z43LODyB9X7t1VGOQT0Ac,https://www.doenet.org/courseactivityeditor/_z43LODyB9X7t1VGOQT0Ac/_ziS8A02W4u7OYLHN45lcH
#N/A,,,,,,,TR-SysOfEq,,,,,_oR0Vb4HVewnbzk7sudjkq,,https://www.doenet.org/courseactivityeditor//_oR0Vb4HVewnbzk7sudjkq
Linear systems,https://www.doenet.org/portfolioeditor/_WBH6XbcyyguXwRmBIvuaA,13a,_WBH6XbcyyguXwRmBIvuaA,,,,1. TR-SysOfEq: Find solution to 2x2 system (version 1),1,,,,_fusBN8IQgIsx3RzsUKuCQ,_oR0Vb4HVewnbzk7sudjkq,https://www.doenet.org/courseactivityeditor/_oR0Vb4HVewnbzk7sudjkq/_fusBN8IQgIsx3RzsUKuCQ
Linear systems,https://www.doenet.org/portfolioeditor/_jWME1iN8S9vBf1Yryd3it,13a,_jWME1iN8S9vBf1Yryd3it,,,,2. TR-SysOfEq: Find solution to 2x2 system (version 2),2,,,,_lQMD2dX5H9t4JuJBmmqpC,_oR0Vb4HVewnbzk7sudjkq,https://www.doenet.org/courseactivityeditor/_oR0Vb4HVewnbzk7sudjkq/_lQMD2dX5H9t4JuJBmmqpC
Linear systems,https://www.doenet.org/portfolioeditor/_OKEMEidDOHPNS47q8GOLk,13a,_OKEMEidDOHPNS47q8GOLk,,,,3. TR-SysOfEq: Find solution to 2x2 system (version 3),3,,,,_3DDmvIob4qCxKCkvSdoTj,_oR0Vb4HVewnbzk7sudjkq,https://www.doenet.org/courseactivityeditor/_oR0Vb4HVewnbzk7sudjkq/_3DDmvIob4qCxKCkvSdoTj
Linear systems,https://www.doenet.org/portfolioeditor/_73wpJsahGlkkuSchTETg0,13a,_73wpJsahGlkkuSchTETg0,,,,4: TR-SysOfEq - Find solution to 2x2 system (version 4),4,,,,_dZDIt03kE9I5tTbtUUkGP,_oR0Vb4HVewnbzk7sudjkq,https://www.doenet.org/courseactivityeditor/_oR0Vb4HVewnbzk7sudjkq/_dZDIt03kE9I5tTbtUUkGP
Linear systems,https://www.doenet.org/portfolioeditor/_2OGCHIGiEagCoAQYN7IrQ,13a,_2OGCHIGiEagCoAQYN7IrQ,,,,5: TR-SysOfEq - Multiple choice; find number of solutions to a 2x2 system (version 1),1,,,,_UyqPmbRVIJRRkTJnvHw4Q,_oR0Vb4HVewnbzk7sudjkq,https://www.doenet.org/courseactivityeditor/_oR0Vb4HVewnbzk7sudjkq/_UyqPmbRVIJRRkTJnvHw4Q
Linear systems,https://www.doenet.org/portfolioeditor/_5mocB7SIy9Lw8quUh9DYP,13a,_5mocB7SIy9Lw8quUh9DYP,,,,6: TR-SysOfEq - Multiple choice; find number of solutions to a 2x2 system (version 2),2,,,,_JqPf4fXXPFI8jsKpY6fOy,_oR0Vb4HVewnbzk7sudjkq,https://www.doenet.org/courseactivityeditor/_oR0Vb4HVewnbzk7sudjkq/_JqPf4fXXPFI8jsKpY6fOy
Linear systems,https://www.doenet.org/portfolioeditor/_f5FsO0ZsBuFqXeoYsLl4T,13a,_f5FsO0ZsBuFqXeoYsLl4T,,,,7: TR-SysOfEq - Multiple choice; find number of solutions to a 2x2 system (version 3),3,,,,_c3v5jq11nRU8wlokaXExl,_oR0Vb4HVewnbzk7sudjkq,https://www.doenet.org/courseactivityeditor/_oR0Vb4HVewnbzk7sudjkq/_c3v5jq11nRU8wlokaXExl
Linear systems,https://www.doenet.org/portfolioeditor/_Kv7Ob8umJqkCez6oNezXb,13a,_Kv7Ob8umJqkCez6oNezXb,,,,8: TR-SysOfEq - Find solution to 3x3 system (version 1),1,,,,_5hrGbglwCmIWYWVWUgofN,_oR0Vb4HVewnbzk7sudjkq,https://www.doenet.org/courseactivityeditor/_oR0Vb4HVewnbzk7sudjkq/_5hrGbglwCmIWYWVWUgofN
Linear systems,https://www.doenet.org/portfolioeditor/_tRt3VoqHIu0e72rCDMdz9,13a,_tRt3VoqHIu0e72rCDMdz9,,,,9: TR-SysOfEq - Find solution to 3x3 system (version 2),2,,,,_bo9vKWiVr4EHR76xYw9T4,_oR0Vb4HVewnbzk7sudjkq,https://www.doenet.org/courseactivityeditor/_oR0Vb4HVewnbzk7sudjkq/_bo9vKWiVr4EHR76xYw9T4
Nonlinear systems,https://www.doenet.org/portfolioeditor/_j3fyqF7JMM9e454Cej1XQ,13b,_j3fyqF7JMM9e454Cej1XQ,,,,10: TR-SysOfEq - Determine the x-coordinates of intersections of quadratic and linear,,,,,_GY6sfPaOIBcb1FuxUBix2,_oR0Vb4HVewnbzk7sudjkq,https://www.doenet.org/courseactivityeditor/_oR0Vb4HVewnbzk7sudjkq/_GY6sfPaOIBcb1FuxUBix2
Nonlinear systems,https://www.doenet.org/portfolioeditor/_jjPTRGnZi8DMvGx1UqxRK,13b,_jjPTRGnZi8DMvGx1UqxRK,,,,11. TR-SysOfEq - Determine the x-coordinates of intersections of circle and linear,,,,,_OIqvSDyqYBkF0k2LAdhJQ,_oR0Vb4HVewnbzk7sudjkq,https://www.doenet.org/courseactivityeditor/_oR0Vb4HVewnbzk7sudjkq/_OIqvSDyqYBkF0k2LAdhJQ
#N/A,,,,,,,TR-Series,,,,,_jtYuE4ugcqk3Qc5myiSZt,,https://www.doenet.org/courseactivityeditor//_jtYuE4ugcqk3Qc5myiSZt
Arithmetic,https://www.doenet.org/portfolioeditor/_J5vgTrnedGoi9xVIIb88s,18b,_J5vgTrnedGoi9xVIIb88s,,,,1. TR-Series: Given explicit formula for an arithmetic sequence find a_n,,,,,_hLaBzJvlm4lcwTJw5uQuV,_jtYuE4ugcqk3Qc5myiSZt,https://www.doenet.org/courseactivityeditor/_jtYuE4ugcqk3Qc5myiSZt/_hLaBzJvlm4lcwTJw5uQuV
Notation,https://www.doenet.org/portfolioeditor/_5mFgTVAaZwAhPbstCgEw4,18a,_5mFgTVAaZwAhPbstCgEw4,,,,2. TR-Series: Given recursive formula for an arithmetic sequence find a_n (version 1),1,,,,_ef7In1fwO1rUxP3zO1NMH,_jtYuE4ugcqk3Qc5myiSZt,https://www.doenet.org/courseactivityeditor/_jtYuE4ugcqk3Qc5myiSZt/_ef7In1fwO1rUxP3zO1NMH
Notation,https://www.doenet.org/portfolioeditor/_0lwtzGabObbivBfqiMFBA,18a,_0lwtzGabObbivBfqiMFBA,,,,3: TR-Series - Multiple choice; given recursive formula  for an arithmetic sequence find a_n,,,,,_n9p14k3Fqd9pMMCGUHJT9,_jtYuE4ugcqk3Qc5myiSZt,https://www.doenet.org/courseactivityeditor/_jtYuE4ugcqk3Qc5myiSZt/_n9p14k3Fqd9pMMCGUHJT9
Notation,https://www.doenet.org/portfolioeditor/_Fvuve3JeNwrYGwkYMHSML,18a,_Fvuve3JeNwrYGwkYMHSML,,,,4: TR-Series - Given recursive formula for an arithmetic sequence find a_n (version 2),2,,,,_ASVIbKz6r3ByMT2yQhVrY,_jtYuE4ugcqk3Qc5myiSZt,https://www.doenet.org/courseactivityeditor/_jtYuE4ugcqk3Qc5myiSZt/_ASVIbKz6r3ByMT2yQhVrY
Summation formulas,https://www.doenet.org/portfolioeditor/_eCrIy4GSVewZqdJG5Mpk1,18d,_eCrIy4GSVewZqdJG5Mpk1,,,,5: TR-Series - Given sigma notation for an arithmetic series compute the sum (version 1),1,4,,,_SYzAcEeij07vS8N5UwCcJ,_jtYuE4ugcqk3Qc5myiSZt,https://www.doenet.org/courseactivityeditor/_jtYuE4ugcqk3Qc5myiSZt/_SYzAcEeij07vS8N5UwCcJ
Summation formulas,https://www.doenet.org/portfolioeditor/_vRS3IDtDiX0apN6nRzNPR,18d,_vRS3IDtDiX0apN6nRzNPR,,,,6: TR-Series - Given sigma notation for an arithmetic series find initial and final terms,,,,,_YR8TGkMtff9HgJ9LV7hLh,_jtYuE4ugcqk3Qc5myiSZt,https://www.doenet.org/courseactivityeditor/_jtYuE4ugcqk3Qc5myiSZt/_YR8TGkMtff9HgJ9LV7hLh
Arithmetic,https://www.doenet.org/portfolioeditor/_97U8BFKi23QE38GLlnEgf,18b,_97U8BFKi23QE38GLlnEgf,,,,7. TR-Series: Given two terms in an arithmetic sequence compute a_n,,,,,_y93xIjlmLfeui53QWvuDy,_jtYuE4ugcqk3Qc5myiSZt,https://www.doenet.org/courseactivityeditor/_jtYuE4ugcqk3Qc5myiSZt/_y93xIjlmLfeui53QWvuDy
Arithmetic,https://www.doenet.org/portfolioeditor/_E4zLNxy1eMOvkNLWMk02Q,18b,_E4zLNxy1eMOvkNLWMk02Q,,,,9. TR-Series: Given two terms in an arithmetic sequence find explicit formula,,,,,_VnlQYX1KksLCveiJRLpu3,_jtYuE4ugcqk3Qc5myiSZt,https://www.doenet.org/courseactivityeditor/_jtYuE4ugcqk3Qc5myiSZt/_VnlQYX1KksLCveiJRLpu3
Summation formulas,https://www.doenet.org/portfolioeditor/_l0GY40c3kjx1WyRuxzJON,18d,_l0GY40c3kjx1WyRuxzJON,,,,10: TR-Series - Given several terms of an arithmetic series compute the sum (version 1),1,,,,_QbWnlqzLEn9GdgV1Gf40V,_jtYuE4ugcqk3Qc5myiSZt,https://www.doenet.org/courseactivityeditor/_jtYuE4ugcqk3Qc5myiSZt/_QbWnlqzLEn9GdgV1Gf40V
Summation formulas,https://www.doenet.org/portfolioeditor/_Ns2KpRL8LREEhtPIgS7le,18d,_Ns2KpRL8LREEhtPIgS7le,,,,11: TR-Series - Given sigma notation for an arithmetic series compute the sum (version 2),2,4 (combine with 5?),,,_dhswsl36TrAcrEUq1HG9O,_jtYuE4ugcqk3Qc5myiSZt,https://www.doenet.org/courseactivityeditor/_jtYuE4ugcqk3Qc5myiSZt/_dhswsl36TrAcrEUq1HG9O
Arithmetic,https://www.doenet.org/portfolioeditor/_ZAfhj431XdrHvpO6NBn71,18b,_ZAfhj431XdrHvpO6NBn71,,,,12. TR-Series - Find the next term of an arithmetic sequence,,,,,_tcMDGEw0VOlwBRCPi9INV,_jtYuE4ugcqk3Qc5myiSZt,https://www.doenet.org/courseactivityeditor/_jtYuE4ugcqk3Qc5myiSZt/_tcMDGEw0VOlwBRCPi9INV
Summation formulas,https://www.doenet.org/portfolioeditor/_ap1avojYnJSt7uUe3FiiI,18d,_ap1avojYnJSt7uUe3FiiI,,,,14. TR-Series - Given several terms of an arithmetic series compute the sum (version 2),2,4,,,_YRqfQFCwLQ5OwITugDuGE,_jtYuE4ugcqk3Qc5myiSZt,https://www.doenet.org/courseactivityeditor/_jtYuE4ugcqk3Qc5myiSZt/_YRqfQFCwLQ5OwITugDuGE
Geometric,https://www.doenet.org/portfolioeditor/_8wdfrI7C49kevdkvruJ9w,"18e, 18d",_8wdfrI7C49kevdkvruJ9w,,,,15. TR-Series - Given several terms of a geometric series compute the sum ,,,,,_1zYHARQU9ehNRgRkXPZGG,_jtYuE4ugcqk3Qc5myiSZt,https://www.doenet.org/courseactivityeditor/_jtYuE4ugcqk3Qc5myiSZt/_1zYHARQU9ehNRgRkXPZGG
Geometric,https://www.doenet.org/portfolioeditor/_S1q0AuDksK7eXx3TDo2VN,"18e, 18d",_S1q0AuDksK7eXx3TDo2VN,,,,18. TR-Series - Given sigma notation of a geometric series compute the sum; index from 0,,,,,_mNIhysTGVqNIo7n114LBM,_jtYuE4ugcqk3Qc5myiSZt,https://www.doenet.org/courseactivityeditor/_jtYuE4ugcqk3Qc5myiSZt/_mNIhysTGVqNIo7n114LBM
Geometric,https://www.doenet.org/portfolioeditor/_XNue72NVAhgtp4MdhCGao,"18e, 18d",_XNue72NVAhgtp4MdhCGao,,,,19. TR-Series - Given sigma notation of a geometric series compute the sum; index from 1,,,,,_lqP7JCbgrM9KN9waT6LYu,_jtYuE4ugcqk3Qc5myiSZt,https://www.doenet.org/courseactivityeditor/_jtYuE4ugcqk3Qc5myiSZt/_lqP7JCbgrM9KN9waT6LYu
Binomial theorem,https://www.doenet.org/portfolioeditor/_txliKOqv3Yef4gnSkJBRH,18c,_txliKOqv3Yef4gnSkJBRH,,,,Problem 20: TR-Series - Binomial expansion (version 1),1,,,,_Kv0ni8AHD1unrs2BthYVl,_jtYuE4ugcqk3Qc5myiSZt,https://www.doenet.org/courseactivityeditor/_jtYuE4ugcqk3Qc5myiSZt/_Kv0ni8AHD1unrs2BthYVl
Binomial theorem,https://www.doenet.org/portfolioeditor/_fgu60PZSmCH1he8IQa05o,18c,_fgu60PZSmCH1he8IQa05o,,,,Problem 21: TR-Series - Binomial expansion (version 2),2,,,,_pJjcH1ajB9TZwSvYl8kJA,_jtYuE4ugcqk3Qc5myiSZt,https://www.doenet.org/courseactivityeditor/_jtYuE4ugcqk3Qc5myiSZt/_pJjcH1ajB9TZwSvYl8kJA
Binomial theorem,https://www.doenet.org/portfolioeditor/_rBx97iEmrGkMOHGOBQKia,18c,_rBx97iEmrGkMOHGOBQKia,,,,Problem 22: TR-Series - Binomial expansion (version 3),3,,,,_vlCUZjjbyaeLExWduNCJp,_jtYuE4ugcqk3Qc5myiSZt,https://www.doenet.org/courseactivityeditor/_jtYuE4ugcqk3Qc5myiSZt/_vlCUZjjbyaeLExWduNCJp
Binomial theorem,https://www.doenet.org/portfolioeditor/_nRoCiOCLVNXAorVfaciwi,18c,_nRoCiOCLVNXAorVfaciwi,,,,Problem 23: TR-Series - Binomial expansion (version 4),4,,,,_cuA1djbfHrMq6lvc2FuAM,_jtYuE4ugcqk3Qc5myiSZt,https://www.doenet.org/courseactivityeditor/_jtYuE4ugcqk3Qc5myiSZt/_cuA1djbfHrMq6lvc2FuAM
Binomial theorem,https://www.doenet.org/portfolioeditor/_rL1QHLtd8Q7iNXYI0fycS,18c,_rL1QHLtd8Q7iNXYI0fycS,,,,24. TR-Series - Find coefficient of a given term using binomial theorem,,,,,_t6IPXAe5YgM3kRrCkoJqX,_jtYuE4ugcqk3Qc5myiSZt,https://www.doenet.org/courseactivityeditor/_jtYuE4ugcqk3Qc5myiSZt/_t6IPXAe5YgM3kRrCkoJqX
Geometric,https://www.doenet.org/portfolioeditor/_5OhDinNO9DXO34fW2EwUx,18e,_5OhDinNO9DXO34fW2EwUx,,,,"29. TR-Series: Given two terms in a geometric sequence, find the common ratio",,,,,_iX5EmYmXq5BfhD9ioAXD2,_jtYuE4ugcqk3Qc5myiSZt,https://www.doenet.org/courseactivityeditor/_jtYuE4ugcqk3Qc5myiSZt/_iX5EmYmXq5BfhD9ioAXD2
Geometric,https://www.doenet.org/portfolioeditor/_nM5XgBbVLUJFRPCFaZBYV,18e,_nM5XgBbVLUJFRPCFaZBYV,,,,"30. TR-Series: Given two terms in a geometric sequence, find the nth term",,,,,_Lua0QLJQLWgxiMCC10aVJ,_jtYuE4ugcqk3Qc5myiSZt,https://www.doenet.org/courseactivityeditor/_jtYuE4ugcqk3Qc5myiSZt/_Lua0QLJQLWgxiMCC10aVJ
Binomial theorem,https://www.doenet.org/portfolioeditor/_74VYrcWfRJWhIm4Sg5G6C,18c,_74VYrcWfRJWhIm4Sg5G6C,,,,31: TR-Series - Binomial series expansion; determine parameters of a given term,,,,,_SINN3FrzwNW5qbVGhKWt0,_jtYuE4ugcqk3Qc5myiSZt,https://www.doenet.org/courseactivityeditor/_jtYuE4ugcqk3Qc5myiSZt/_SINN3FrzwNW5qbVGhKWt0
