Trig,Prob,,,,Heirarchy Levels,,highlighted yellow means needs formal review,,,,,,,
Factoring: special forms,https://www.doenet.org/portfolioeditor/_den0BmvlRXnUJRdCDBvR9,5d,_den0BmvlRXnUJRdCDBvR9,,,,"Problem 17: BA-Basics - Factor a quadratic; difference of squares, a = 1",,,,,_PcrjSMtu8qviRh8r6SUBT,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_PcrjSMtu8qviRh8r6SUBT
Factoring: special forms,https://www.doenet.org/portfolioeditor/_4Lqj1UZMJgv4QvOrkXwH1,5d,_4Lqj1UZMJgv4QvOrkXwH1,,,,"Problem 18: BA-Basics - Factor a quadratic; difference of squares, a not equal to 1, no GCF",,,,,_2nh6VF2maYBbZS9VeHmNa,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_2nh6VF2maYBbZS9VeHmNa
Factoring: special forms,https://www.doenet.org/portfolioeditor/_3MHkGxMcOmwLrNZviuhuF,5d,_3MHkGxMcOmwLrNZviuhuF,,,,"Problem 20: BA-Basics - Factor a quadratic; difference of squares, a not equal to 1, constant GCF",,,,,_OQdmzJDDb0K8RHiewr5Lh,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_OQdmzJDDb0K8RHiewr5Lh
Factoring: special forms,https://www.doenet.org/portfolioeditor/_Qyp68vAVYM17eGc9AZFhe,5d,_Qyp68vAVYM17eGc9AZFhe,,,,"Problem 21: BA-Basics - Factor a quadratic; difference of squares, GCF constant times x",,,,,_MZhNJslwphx8N5Wvj7avR,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_MZhNJslwphx8N5Wvj7avR
Factoring by grouping,https://www.doenet.org/portfolioeditor/_KKdIx2ZPTmBn7yKG2SSxG,5b,_KKdIx2ZPTmBn7yKG2SSxG,,,,Problem 23: BA-Basics - Factor a cubic by grouping; all positive terms,,,,,_2YhjAXrnaqN0MdGYo9h5G,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_2YhjAXrnaqN0MdGYo9h5G
Factoring by grouping,https://www.doenet.org/portfolioeditor/_QN6OGl8Xyhuocn68aZvmw,5b,_QN6OGl8Xyhuocn68aZvmw,,,,Problem 24: BA-Basics - Factor a cubic by grouping; constant GCF,,,,,_i2ABNwsYfyCcegHGXVLz6,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_i2ABNwsYfyCcegHGXVLz6
Factoring by grouping,https://www.doenet.org/portfolioeditor/_h9KL7nGQbtL8m0sTHG8m4,5b,_h9KL7nGQbtL8m0sTHG8m4,,,,Problem 25: BA-Basics - Factor a quartic by grouping; GCF constant times x,,,,,_szPV8nAsWje5Ua5FkWfVK,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_szPV8nAsWje5Ua5FkWfVK
Factoring by grouping,https://www.doenet.org/portfolioeditor/_LgVrnRHm83GrBGzYmY6CA,5b,_LgVrnRHm83GrBGzYmY6CA,,,,"Problem 26: BA-Basics - Factor a cubic by grouping; constant GCF, difference of squares",,,,,_3zgWEXvdJWnJkCgHC1U9l,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_3zgWEXvdJWnJkCgHC1U9l
#N/A,,,,,,,27. BA-Basics - reduce a numerical fraction with common factors (version 1),,,,,_3rWRJWbhqgOp4dfOPZCtH,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_3rWRJWbhqgOp4dfOPZCtH
#N/A,,,,,,,28. BA-Basics - reduce a numerical fraction with common factors (version 2),,,,,_xtrd5Y8TvfftglLm6u9Wv,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_xtrd5Y8TvfftglLm6u9Wv
#N/A,,,,,,,29: BA-Basics - multiply then reduce,,,,,_pxVc1jhXjUlByKk62VHQo,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_pxVc1jhXjUlByKk62VHQo
#N/A,,,,,,,30. BA-Basics - divide then reduce,,,,,_7LRGIbrd4L8LOIZYSaVl1,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_7LRGIbrd4L8LOIZYSaVl1
#N/A,,A2e,,,,,31. BA-Basics - add fractions then simplify,,,,,_jFbuLilxomcve5Mxi62a1,_Jf7QD0G0X3t4g650OVkgc,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_jFbuLilxomcve5Mxi62a1
